"IDpol","ClaimNb","Exposure","Area","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Density","Region","ClaimAmount"
1195483,0,0.23,"E",5,13,45,76,"B2","Regular",3317,"R93",0
6106139,0,0.03,"C",4,1,23,85,"B12","Diesel",218,"R22",0
4123673,0,1,"D",9,12,70,50,"B2","Regular",1410,"R72",0
4048605,0,0.06,"A",4,0,32,72,"B12","Regular",13,"R94",0
1007654,0,0.38,"C",5,1,54,80,"B12","Regular",102,"R93",0
1125801,0,1,"A",7,12,75,50,"B2","Diesel",32,"R24",0
2204847,1,0.31,"D",6,6,55,50,"B5","Regular",1152,"R11",1172
6008485,0,0.74,"F",4,10,27,90,"B4","Regular",10068,"R11",0
4131123,0,1,"A",5,12,57,50,"B5","Diesel",30,"R24",0
5103569,0,0.1,"F",4,1,28,80,"B12","Diesel",27000,"R11",0
3173556,0,0.17,"C",7,1,71,50,"B4","Diesel",212,"R91",0
5083043,0,0.31,"D",6,10,23,85,"B1","Diesel",1214,"R31",0
3072822,0,1,"A",4,13,56,72,"B1","Regular",27,"R24",0
4187683,0,1,"C",6,5,54,50,"B2","Regular",144,"R24",0
4171833,0,1,"A",7,5,39,58,"B1","Diesel",24,"R24",0
2261885,0,0.08,"D",4,20,34,85,"B1","Regular",1326,"R93",0
1034328,0,0.18,"A",9,15,40,50,"B3","Regular",11,"R24",0
6084224,0,0.26,"C",5,4,25,80,"B1","Diesel",204,"R91",0
1074978,0,1,"C",6,5,36,50,"B5","Diesel",431,"R42",0
2152343,1,0.75,"D",7,7,38,50,"B3","Regular",705,"R11",1090.47
4051815,0,0.05,"F",8,0,61,50,"B12","Diesel",12750,"R11",0
5080044,0,0.49,"A",7,4,47,50,"B12","Regular",48,"R23",0
2271401,0,0.25,"D",4,8,31,51,"B6","Regular",1326,"R93",0
5007420,0,0.7,"C",6,7,37,51,"B12","Diesel",169,"R91",0
4039207,0,0.21,"B",6,9,25,76,"B2","Diesel",74,"R72",0
1187268,0,1.16,"C",5,13,74,50,"B12","Regular",141,"R22",0
57674,0,0.08,"B",6,11,23,85,"B1","Diesel",76,"R21",0
5102364,0,0.25,"A",11,0,40,50,"B12","Diesel",26,"R82",0
2085644,0,1,"E",7,2,48,50,"B2","Regular",3688,"R82",0
5043092,0,0.96,"D",8,2,55,50,"B12","Diesel",762,"R93",0
3173425,0,0.09,"A",6,12,21,95,"B1","Diesel",14,"R74",0
3132850,0,1,"C",5,10,39,50,"B5","Diesel",142,"R93",0
4022002,0,0.28,"D",4,10,29,80,"B2","Regular",1780,"R31",0
2225630,0,0.08,"A",6,11,56,50,"B6","Regular",49,"R91",0
110029,0,0.18,"C",7,13,46,50,"B2","Diesel",238,"R54",0
6027868,0,0.11,"C",6,10,60,50,"B12","Regular",116,"R93",0
2078448,0,1,"D",6,4,39,50,"B3","Diesel",1482,"R82",0
42592,0,0.65,"B",7,6,22,76,"B5","Regular",94,"R53",0
6048907,0,0.12,"D",4,2,58,50,"B12","Diesel",528,"R93",0
5094232,0,0.33,"E",8,10,23,100,"B1","Regular",9215,"R11",0
2004188,0,0.45,"E",4,2,36,50,"B12","Regular",3301,"R73",0
2051062,0,0.04,"E",6,4,44,95,"B3","Regular",3021,"R53",0
1044648,0,1,"C",6,12,34,57,"B3","Diesel",133,"R82",0
3039553,0,0.78,"D",11,1,52,50,"B12","Diesel",595,"R93",0
2220886,0,0.41,"E",4,2,50,50,"B3","Diesel",2308,"R31",0
3033437,0,0.16,"A",8,0,53,50,"B12","Diesel",49,"R83",0
2000516,0,0.002739726,"D",10,2,77,50,"B12","Regular",1793,"R73",0
3110791,0,0.12,"A",6,13,33,60,"B3","Diesel",13,"R24",0
4170990,0,0.31,"D",7,21,26,90,"B1","Regular",1313,"R24",0
2099503,1,0.73,"E",6,6,61,95,"B5","Diesel",5460,"R11",2881.27
2257887,0,0.49,"B",7,15,66,50,"B1","Regular",80,"R73",0
99022,0,1,"A",8,4,53,50,"B2","Diesel",15,"R24",0
2139369,0,0.45,"B",6,14,48,50,"B2","Diesel",64,"R53",0
3165106,0,0.09,"D",10,4,34,50,"B12","Regular",738,"R82",0
3094961,0,1,"C",4,15,47,50,"B2","Regular",128,"R24",0
2164260,0,0.16,"E",7,2,36,60,"B1","Regular",4128,"R52",0
2086210,0,1,"C",6,31,58,50,"B2","Diesel",186,"R24",0
1080693,0,0.61,"C",6,9,27,64,"B5","Regular",193,"R41",0
46642,0,0.23,"D",9,4,27,76,"B4","Regular",1054,"R24",0
5091336,0,0.71,"D",7,0,47,50,"B12","Diesel",1430,"R11",0
4029844,0,0.4,"B",6,1,48,93,"B12","Diesel",97,"R41",0
6080074,0,0.12,"B",8,3,39,50,"B12","Diesel",61,"R52",0
1180854,0,1,"C",6,7,50,59,"B6","Diesel",158,"R73",0
5074768,0,0.03,"D",7,3,33,57,"B12","Regular",555,"R82",0
4030770,0,0.04,"C",6,1,46,50,"B12","Diesel",144,"R93",0
3176597,0,1,"D",7,5,77,57,"B2","Regular",1182,"R82",0
1144761,0,1,"E",6,11,29,68,"B1","Regular",2767,"R52",0
6002854,0,0.46,"A",6,10,36,64,"B3","Diesel",16,"R73",0
3168358,0,0.81,"C",7,7,24,100,"B1","Regular",122,"R52",0
3193572,0,1,"B",6,13,49,50,"B1","Regular",94,"R24",0
128989,0,1,"C",6,14,89,50,"B1","Regular",227,"R54",0
28458,0,1,"C",7,12,54,50,"B1","Regular",124,"R24",0
2285459,0,0.17,"E",5,6,42,50,"B3","Diesel",7313,"R31",0
2081568,0,0.34,"B",7,14,38,50,"B2","Regular",81,"R54",0
60242,0,0.72,"A",7,3,32,50,"B11","Diesel",42,"R82",0
3094586,0,0.47,"D",6,8,37,90,"B3","Regular",1704,"R82",0
4178256,0,0.33,"C",4,17,33,50,"B2","Regular",167,"R52",0
2147703,1,1,"E",8,8,75,56,"B10","Diesel",4128,"R52",586
2146892,0,0.07,"D",7,2,56,100,"B6","Diesel",853,"R11",0
2262222,0,0.08,"D",8,8,34,85,"B3","Regular",1629,"R93",0
3240086,0,0.16,"A",9,12,36,50,"B3","Regular",35,"R82",0
1172201,0,1,"B",8,5,31,54,"B3","Diesel",50,"R24",0
1082434,0,1,"C",7,1,36,50,"B6","Diesel",213,"R74",0
3150045,0,0.19,"E",4,14,26,90,"B1","Regular",3368,"R24",0
4128952,0,1,"B",5,5,32,80,"B5","Diesel",64,"R52",0
3250170,0,0.08,"D",10,6,35,68,"B3","Diesel",1448,"R93",0
6108564,0,0.74,"E",6,7,29,85,"B3","Diesel",6511,"R11",0
3098581,0,1,"E",5,8,41,50,"B5","Diesel",4087,"R53",0
3143887,0,0.83,"A",9,1,45,50,"B1","Diesel",21,"R24",0
4018094,0,0.3,"D",7,1,41,68,"B12","Diesel",891,"R11",0
1037205,0,1,"A",12,6,47,50,"B12","Diesel",48,"R24",0
3118321,0,0.83,"C",6,0,34,64,"B3","Regular",159,"R25",0
2052402,0,1,"A",7,16,29,50,"B1","Regular",14,"R24",0
4008373,0,0.13,"B",5,3,28,76,"B12","Regular",97,"R53",0
40951,0,0.32,"C",4,6,21,90,"B5","Regular",298,"R82",0
2193311,0,1,"C",5,1,54,50,"B2","Diesel",139,"R24",0
3011147,0,0.12,"D",6,2,52,62,"B12","Diesel",1609,"R11",0
4063937,0,0.01,"C",5,8,48,50,"B2","Diesel",411,"R11",0
54613,0,0.41,"C",5,13,19,118,"B4","Regular",252,"R24",0
2256128,0,0.49,"A",5,9,55,50,"B5","Diesel",9,"R72",0
4083775,0,0.79,"C",4,3,42,50,"B12","Regular",301,"R73",0
1175853,0,0.008219178,"E",5,2,26,70,"B2","Diesel",3317,"R93",0
2097145,0,1,"D",5,2,35,72,"B4","Regular",1572,"R31",0
1017521,0,1,"A",5,2,73,50,"B1","Regular",48,"R24",0
2139928,0,1,"C",4,14,79,50,"B2","Regular",214,"R26",0
5007364,0,0.78,"A",4,2,54,50,"B12","Regular",20,"R74",0
3187612,0,0.25,"C",12,4,55,50,"B12","Diesel",119,"R24",0
114998,0,0.09,"A",10,15,41,69,"B2","Diesel",45,"R24",0
2177468,0,0.22,"D",8,6,50,50,"B1","Diesel",983,"R52",0
4167715,0,0.56,"E",4,2,27,72,"B1","Diesel",5936,"R11",0
2183523,0,1,"A",7,6,55,50,"B1","Diesel",27,"R24",0
6104749,0,0.01,"C",4,1,51,95,"B12","Regular",138,"R91",0
2202918,0,0.49,"B",8,6,56,50,"B2","Diesel",65,"R53",0
4050102,0,0.07,"D",5,0,66,54,"B12","Regular",1045,"R73",0
2080992,0,0.13,"C",4,7,58,50,"B1","Regular",431,"R53",0
49952,0,0.11,"D",6,8,36,51,"B1","Regular",568,"R52",0
130023,0,1,"B",4,9,37,50,"B1","Regular",61,"R24",0
4065143,0,0.06,"C",6,0,24,72,"B12","Regular",483,"R91",0
2026631,0,0.14,"A",6,4,30,65,"B2","Diesel",33,"R26",0
2260498,0,1,"E",6,7,61,50,"B6","Diesel",4128,"R52",0
2212610,0,0.39,"C",4,13,39,50,"B3","Diesel",338,"R53",0
4145237,0,0.04,"C",6,10,59,50,"B1","Diesel",132,"R22",0
6083135,0,0.54,"E",9,6,80,50,"B13","Regular",2007,"R11",0
5067464,0,0.04,"E",7,1,49,50,"B12","Diesel",4762,"R93",0
1193361,0,0.93,"E",8,14,73,76,"B12","Regular",3744,"R93",0
4133156,0,0.33,"C",9,3,49,50,"B2","Diesel",182,"R24",0
5082336,0,0.8,"E",7,3,37,50,"B12","Regular",6689,"R11",0
2261072,0,0.5,"A",11,14,45,85,"B1","Regular",19,"R24",0
1050854,0,1,"D",7,6,58,50,"B1","Diesel",1329,"R11",0
2054780,0,0.23,"A",6,4,66,50,"B1","Diesel",30,"R24",0
1012443,0,0.59,"A",7,7,52,50,"B6","Diesel",23,"R73",0
3100510,0,0.07,"A",6,9,63,50,"B1","Diesel",11,"R24",0
2210392,0,0.96,"A",8,11,45,50,"B10","Regular",44,"R24",0
3005819,0,0.09,"C",4,4,61,50,"B12","Regular",342,"R93",0
3194737,0,0.008219178,"C",7,7,36,50,"B2","Diesel",399,"R24",0
1194730,0,1,"C",4,8,30,76,"B2","Regular",221,"R91",0
2222053,0,0.5,"B",4,11,71,50,"B2","Diesel",66,"R93",0
134850,1,0.57,"C",6,11,35,64,"B12","Regular",219,"R52",1032.41
1198061,0,0.92,"A",10,12,31,68,"B12","Diesel",14,"R82",0
6086188,0,0.28,"B",8,2,36,50,"B12","Diesel",69,"R21",0
3022715,0,0.43,"C",5,0,31,64,"B2","Diesel",304,"R41",0
2106211,0,0.44,"D",6,2,31,57,"B1","Diesel",1572,"R31",0
1036279,0,1,"A",6,11,40,72,"B1","Diesel",23,"R24",0
114060,0,0.82,"E",4,13,30,64,"B6","Regular",8455,"R82",0
3145862,0,0.42,"A",4,12,43,50,"B1","Diesel",43,"R24",0
107357,0,0.00273224043715847,"C",4,12,57,50,"B2","Diesel",105,"R24",0
6028504,0,0.35,"C",4,3,34,60,"B12","Diesel",182,"R82",0
3065703,0,0.29,"D",7,12,71,50,"B11","Diesel",1054,"R24",0
6035982,0,0.08,"E",10,3,47,50,"B12","Regular",8455,"R82",0
2024117,0,0.83,"D",4,1,49,50,"B12","Regular",1326,"R93",0
2164169,0,0.29,"A",10,14,41,50,"B13","Diesel",39,"R24",0
2231627,0,0.39,"E",8,7,52,60,"B2","Diesel",6257,"R11",0
4141045,0,1,"C",6,10,36,50,"B2","Diesel",109,"R24",0
4135854,0,0.19,"C",7,14,37,76,"B3","Regular",405,"R24",0
5060992,0,0.63,"D",10,1,75,100,"B12","Diesel",567,"R31",0
64436,1,1,"E",5,2,46,50,"B2","Regular",8549,"R82",1490.24
2288497,0,0.08,"E",6,3,55,55,"B2","Diesel",3963,"R91",0
3160443,0,0.04,"E",9,18,38,72,"B1","Regular",5033,"R11",0
3051547,0,0.58,"C",6,10,27,85,"B3","Diesel",308,"R24",0
132349,0,1,"C",7,1,57,50,"B1","Regular",197,"R52",0
6053684,0,0.33,"B",8,2,59,50,"B12","Diesel",61,"R91",0
6104468,0,0.72,"E",15,1,51,50,"B12","Regular",4348,"R72",0
5106225,0,0.14,"C",13,0,71,50,"B12","Regular",167,"R93",0
6044536,0,0.08,"E",5,2,54,50,"B12","Regular",3021,"R53",0
5016079,0,0.53,"E",15,4,67,50,"B12","Regular",3430,"R93",0
1027114,0,1,"C",7,17,65,50,"B1","Regular",252,"R52",0
5000041,0,0.03,"D",5,5,75,50,"B12","Regular",1101,"R93",0
1190929,0,0.25,"C",5,2,27,85,"B1","Regular",483,"R91",0
3145395,0,0.75,"B",6,0,28,68,"B5","Diesel",52,"R54",0
3091618,0,1,"D",5,3,85,50,"B3","Regular",515,"R54",0
2176375,0,0.49,"C",4,14,76,50,"B2","Regular",165,"R53",0
6026664,0,0.45,"E",7,4,27,90,"B12","Regular",3317,"R93",0
55354,0,0.15,"B",9,9,27,72,"B2","Regular",55,"R82",0
2037985,0,0.06,"F",5,0,32,90,"B12","Regular",27000,"R11",0
3179403,0,0.55,"D",6,4,62,50,"B5","Diesel",663,"R52",0
5002441,0,0.1,"C",5,1,36,67,"B12","Diesel",106,"R91",0
1171060,0,0.58,"C",6,10,63,50,"B2","Diesel",126,"R24",0
22234,1,1,"C",6,3,41,50,"B2","Regular",270,"R24",1320.24
2194931,0,1,"A",5,6,37,50,"B1","Regular",26,"R24",0
3236712,0,0.08,"A",11,8,42,57,"B4","Regular",44,"R72",0
4118084,0,0.9,"D",7,6,39,56,"B2","Regular",1600,"R24",0
4166385,0,1,"A",5,3,29,60,"B5","Diesel",26,"R24",0
2092759,0,1,"C",7,19,32,50,"B2","Diesel",272,"R72",0
5059454,0,0.44,"D",8,1,56,50,"B12","Diesel",636,"R74",0
3037459,0,0.7,"D",4,2,23,95,"B12","Regular",1468,"R93",0
2050649,0,0.36,"D",8,1,51,50,"B2","Diesel",1600,"R24",0
4139454,0,0.87,"E",7,8,71,50,"B11","Diesel",2740,"R22",0
3129287,0,0.04,"C",5,9,23,100,"B6","Regular",285,"R82",0
6036404,0,0.08,"F",5,3,43,50,"B10","Diesel",16533,"R11",0
2270849,0,1,"B",4,16,61,50,"B1","Regular",75,"R93",0
1140342,0,1,"E",8,14,59,50,"B10","Diesel",2103,"R25",0
4123213,0,0.36,"A",6,11,50,50,"B2","Diesel",44,"R53",0
1196141,0,0.08,"C",9,14,35,54,"B1","Regular",137,"R72",0
2221434,0,0.41,"E",14,14,51,50,"B10","Regular",3857,"R72",0
2085652,1,0.63,"D",6,13,54,50,"B1","Diesel",883,"R93",2250
5004013,0,0.54,"C",12,1,37,76,"B12","Diesel",109,"R91",0
4142263,0,1,"B",7,9,55,50,"B2","Diesel",66,"R24",0
1039068,0,0.01,"B",9,8,30,57,"B12","Regular",58,"R24",0
2266511,0,0.75,"C",5,5,47,57,"B1","Regular",214,"R91",0
4160473,0,1,"E",5,1,69,50,"B2","Diesel",3317,"R93",0
2073996,0,1,"C",5,5,56,50,"B1","Regular",142,"R72",0
2285724,0,0.58,"E",6,14,60,50,"B1","Diesel",3317,"R93",0
19168,1,1,"A",6,12,40,50,"B1","Regular",16,"R24",494.6284188795
150069,0,0.3,"E",6,2,26,64,"B3","Diesel",4128,"R52",0
2084415,0,1,"B",9,3,53,50,"B3","Diesel",90,"R73",0
6053513,0,0.33,"A",6,5,32,64,"B2","Diesel",41,"R72",0
3057229,0,0.64,"C",10,5,39,50,"B13","Diesel",105,"R24",0
5086673,0,0.35,"F",7,2,41,50,"B12","Regular",27000,"R11",0
1099576,0,1,"B",6,10,40,50,"B4","Regular",62,"R31",0
2220277,0,0.28,"C",14,0,52,50,"B2","Regular",269,"R91",0
83451,0,0.06,"C",13,11,34,80,"B1","Diesel",149,"R24",0
1138546,0,1,"A",6,3,45,50,"B2","Diesel",41,"R24",0
3196094,0,1,"C",9,9,70,50,"B10","Diesel",247,"R53",0
41110,0,0.19,"D",6,16,40,68,"B5","Regular",1323,"R82",0
4049489,0,0.71,"E",7,0,73,50,"B12","Diesel",2733,"R93",0
6110657,0,0.67,"D",5,10,45,50,"B1","Regular",748,"R11",0
5100616,0,0.45,"C",8,4,43,50,"B12","Diesel",424,"R11",0
2211944,0,0.75,"A",6,16,57,50,"B2","Regular",19,"R24",0
4138460,1,0.42,"A",8,17,42,78,"B13","Regular",14,"R24",6204
103835,1,0.47,"A",5,6,43,50,"B3","Regular",33,"R24",1128.12
6017311,0,0.7,"D",6,9,35,64,"B12","Diesel",671,"R23",0
1133224,0,1,"C",9,18,76,50,"B2","Diesel",405,"R24",0
2142348,0,0.03,"C",7,1,52,85,"B1","Regular",114,"R72",0
1151639,0,1,"A",4,19,83,50,"B1","Regular",11,"R24",0
1094738,0,0.27,"D",8,12,33,50,"B10","Regular",1323,"R82",0
4136217,0,0.43,"C",4,15,53,76,"B1","Regular",433,"R93",0
2263159,1,0.5,"A",5,2,47,62,"B2","Diesel",45,"R93",82.05
5107506,0,0.12,"D",4,0,23,100,"B12","Regular",740,"R82",0
2023353,0,0.13,"C",15,0,41,100,"B12","Regular",125,"R72",0
1018141,0,0.06,"C",4,12,49,50,"B1","Diesel",268,"R53",0
2263739,0,0.5,"D",5,16,62,50,"B2","Diesel",1006,"R93",0
4169531,0,0.2,"C",9,13,22,50,"B3","Regular",128,"R24",0
1196474,1,0.24,"E",6,12,31,76,"B1","Diesel",7966,"R31",809.72
2283376,0,0.08,"C",6,15,34,57,"B2","Diesel",453,"R72",0
2283179,0,0.08,"D",5,0,72,50,"B3","Regular",1326,"R93",0
4074669,0,0.04,"E",6,2,26,65,"B12","Diesel",4220,"R11",0
94467,0,0.02,"E",10,1,46,50,"B4","Regular",8549,"R82",0
3007791,0,0.07,"A",8,3,50,50,"B12","Regular",44,"R73",0
2207377,0,0.16,"E",6,7,36,68,"B2","Diesel",3386,"R53",0
3017281,0,0.53,"C",4,2,51,58,"B12","Regular",377,"R93",0
1165641,0,1,"B",6,9,55,50,"B1","Diesel",65,"R53",0
1002346,0,0.08,"C",4,1,39,64,"B12","Regular",342,"R93",0
138346,0,1,"C",6,14,31,50,"B2","Diesel",230,"R82",0
5054285,0,0.35,"E",4,15,41,53,"B2","Regular",2642,"R31",0
3005047,0,0.49,"E",5,1,48,62,"B12","Regular",2740,"R22",0
63073,0,0.77,"E",5,0,79,50,"B2","Regular",2054,"R93",0
2231272,0,0.08,"C",7,8,32,64,"B1","Diesel",221,"R91",0
2278397,0,0.08,"E",6,2,61,50,"B2","Diesel",4128,"R52",0
3035984,0,0.46,"E",5,10,41,90,"B13","Diesel",8023,"R11",0
70872,0,1,"E",4,4,42,57,"B1","Regular",5877,"R11",0
6071924,0,0.61,"D",8,4,53,50,"B12","Diesel",824,"R91",0
1079100,0,0.28,"E",7,19,54,50,"B1","Regular",3688,"R82",0
4037363,0,0.07,"C",6,3,44,50,"B12","Regular",104,"R26",0
146419,0,0.04,"E",5,1,35,50,"B3","Regular",4128,"R52",0
5105583,0,0.21,"C",4,0,47,50,"B12","Diesel",124,"R91",0
4147083,0,1,"D",4,10,72,50,"B2","Regular",1601,"R41",0
4145999,0,0.18,"D",8,3,33,53,"B13","Regular",1410,"R72",0
4182740,0,0.69,"C",7,16,53,100,"B2","Regular",214,"R26",0
5050788,0,0.04,"D",4,2,43,50,"B12","Diesel",879,"R82",0
3112529,0,0.61,"D",5,1,46,50,"B1","Diesel",511,"R24",0
1052436,0,0.77,"C",6,3,28,75,"B1","Diesel",405,"R24",0
1135431,0,0.41,"E",5,13,43,50,"B2","Regular",4116,"R24",0
1146657,0,1,"C",6,10,76,50,"B2","Regular",165,"R53",0
3147495,0,0.02,"C",6,12,26,95,"B1","Diesel",144,"R24",0
3137700,0,1,"A",5,6,65,50,"B1","Diesel",15,"R24",0
2160308,0,0.35,"F",11,14,40,50,"B11","Regular",27000,"R11",0
3109297,0,1,"F",9,3,38,51,"B1","Regular",16533,"R11",0
3188873,0,1,"C",7,4,70,50,"B1","Diesel",126,"R24",0
4057389,0,0.3,"C",7,0,43,50,"B12","Diesel",113,"R83",0
4061739,0,0.04,"B",11,0,41,50,"B12","Diesel",97,"R82",0
2093637,0,0.86,"B",7,13,31,90,"B1","Regular",89,"R52",0
2079498,0,0.08,"C",7,6,30,76,"B1","Diesel",366,"R53",0
4128078,0,1,"D",9,19,48,50,"B1","Regular",1408,"R52",0
2091687,0,0.65,"D",4,16,42,50,"B1","Regular",665,"R82",0
3240929,0,0.16,"B",8,16,40,50,"B1","Diesel",83,"R24",0
117494,0,0.18,"A",5,5,43,50,"B2","Regular",29,"R24",0
2108332,0,0.05,"F",12,8,35,100,"B3","Regular",27000,"R11",0
6052387,0,0.46,"B",11,2,52,50,"B12","Diesel",64,"R91",0
1188017,0,1,"D",4,12,25,68,"B2","Regular",1326,"R93",0
1077080,0,0.7,"A",11,16,57,50,"B1","Regular",43,"R82",0
6097277,0,0.32,"E",4,1,39,60,"B12","Regular",2872,"R11",0
4180932,0,0.19,"C",5,8,57,50,"B2","Regular",338,"R53",0
1027828,0,0.01,"C",6,7,39,80,"B2","Diesel",186,"R24",0
1119343,0,0.1,"C",7,2,36,60,"B3","Diesel",149,"R24",0
138325,0,1,"B",4,9,33,50,"B3","Diesel",83,"R82",0
1186914,0,0.42,"E",8,15,34,72,"B1","Diesel",3963,"R91",0
2185725,0,0.92,"C",7,1,43,50,"B3","Diesel",163,"R52",0
4047844,0,0.82,"B",7,1,73,50,"B12","Diesel",93,"R91",0
4182464,0,0.24,"C",5,14,42,50,"B2","Diesel",105,"R24",0
2103909,0,0.79,"E",5,7,34,64,"B1","Diesel",3233,"R82",0
2138943,0,0.61,"D",5,14,39,54,"B1","Regular",1200,"R31",0
4005131,0,0.46,"C",5,4,52,50,"B12","Regular",414,"R93",0
2127971,0,0.4,"E",6,16,42,95,"B1","Diesel",3744,"R93",0
8073,1,0.06,"C",6,0,62,50,"B12","Regular",269,"R91",4005.79488221985
6033946,0,0.19,"C",5,3,67,50,"B12","Regular",426,"R91",0
1047118,0,1,"A",6,10,56,50,"B1","Diesel",18,"R24",0
2280174,0,0.08,"E",5,4,58,50,"B5","Regular",3301,"R73",0
1023467,0,1,"C",6,5,42,50,"B6","Regular",182,"R24",0
1195801,0,0.24,"C",6,5,38,50,"B3","Regular",192,"R91",0
173080,1,0.77,"C",6,2,75,112,"B10","Regular",343,"R82",1128.12
2084783,0,0.002739726,"B",6,13,30,80,"B2","Diesel",55,"R53",0
35436,0,1,"E",9,12,35,50,"B14","Regular",2252,"R82",0
1182452,0,0.47,"D",6,17,24,106,"B2","Diesel",1326,"R93",0
4173229,0,1,"D",7,18,78,50,"B3","Regular",1284,"R25",0
1108422,0,0.64,"A",7,2,62,50,"B2","Diesel",28,"R24",0
3091918,0,1,"C",4,20,35,50,"B2","Regular",113,"R52",0
3030500,0,0.5,"C",7,0,52,50,"B12","Diesel",223,"R42",0
3237590,0,0.08,"C",5,14,30,61,"B2","Regular",176,"R93",0
1142001,0,1,"C",5,2,77,50,"B2","Regular",283,"R25",0
1181750,0,1.12,"C",6,10,48,50,"B1","Diesel",330,"R93",0
4152727,0,0.87,"A",6,4,29,54,"B1","Diesel",10,"R24",0
78285,0,1,"D",5,2,28,51,"B2","Regular",1313,"R24",0
163648,1,0.32,"C",10,18,46,62,"B2","Diesel",374,"R82",510.24
2051008,1,0.24,"F",5,3,74,106,"B2","Regular",14200,"R11",1172
6104955,0,0.74,"A",7,1,50,50,"B12","Diesel",15,"R22",0
4158698,0,0.76,"D",10,10,69,50,"B2","Diesel",745,"R82",0
1116649,0,0.07,"C",4,1,59,50,"B1","Regular",287,"R53",0
2159855,0,0.09,"C",7,9,42,72,"B1","Diesel",127,"R72",0
3136989,0,0.83,"C",6,9,33,50,"B2","Diesel",112,"R53",0
4048644,0,0.27,"E",4,2,56,50,"B12","Diesel",3744,"R93",0
137819,0,1,"D",9,9,59,50,"B1","Regular",1284,"R25",0
3042299,0,0.91,"C",6,0,34,76,"B12","Regular",111,"R91",0
1139562,0,1,"D",5,17,50,51,"B1","Diesel",1313,"R24",0
4180877,0,0.16,"B",8,0,48,50,"B2","Diesel",86,"R24",0
6026272,0,0.36,"E",8,4,48,68,"B12","Diesel",2872,"R11",0
103218,0,0.4,"D",6,0,30,54,"B1","Diesel",1543,"R41",0
2270084,0,0.08,"D",6,5,35,57,"B2","Diesel",1314,"R24",0
3086183,0,1,"C",4,23,70,50,"B1","Regular",186,"R24",0
1189558,0,0.94,"E",7,15,41,76,"B10","Diesel",3317,"R93",0
1006700,0,0.53,"E",6,1,33,51,"B12","Regular",9812,"R11",0
1196584,0,0.44,"E",6,8,37,76,"B2","Diesel",2606,"R31",0
2115315,0,0.41,"A",7,4,54,50,"B2","Diesel",13,"R24",0
155578,0,0.98,"E",5,6,29,80,"B1","Regular",4128,"R52",0
1125831,0,1,"A",7,8,41,50,"B1","Regular",25,"R24",0
4139568,0,1,"E",4,10,56,50,"B14","Regular",3688,"R82",0
2002599,0,0.28,"D",9,2,47,50,"B12","Regular",1955,"R94",0
2144325,1,0.07,"B",4,15,21,100,"B6","Regular",75,"R22",567.47
71589,0,1,"B",6,12,81,50,"B5","Regular",61,"R31",0
2117113,0,0.26,"D",6,2,29,76,"B1","Diesel",1397,"R41",0
4152537,0,0.1,"B",7,12,29,80,"B11","Diesel",64,"R24",0
2190536,0,0.39,"E",5,3,37,50,"B3","Diesel",7259,"R31",0
6102150,0,0.1,"D",9,9,41,50,"B12","Regular",886,"R54",0
2046958,0,0.99,"A",6,1,55,55,"B2","Diesel",13,"R24",0
